"Stock Code",Collection,"Stock Level",Category,"Product Type",Brand,Name,Price,Quantity
T390235,"Bergamote & Rose Sauvage",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Bergamote & Rose Sauvage Refillable Eau de Parfum 50ml Spray",9.34,
J08307,"Bergamote & Rose Sauvage",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Bergamote & Rose Sauvage Refillable Eau de Parfum Concentrate 10ml Spray",6.09,
J08907,"Bergamote & Rose Sauvage",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Bergamote & Rose Sauvage Refillable Eau de Parfum Concentrate 50ml Spray",12.06,
P809225,"Carvi & Jardin De Figuier",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Carvi & Jardin De Figuier Refillable Concentré Eau de Parfum 15ml Spray",7.92,
H249874,"Carvi & Jardin De Figuier",20,"Fragrance > Unisex","Eau de Cologne",100BON,"100BON Carvi & Jardin De Figuier Refillable Eau de Parfum 10ml Spray",5.54,
T415235,"Carvi & Jardin De Figuier",20,"Fragrance > Unisex","Eau de Cologne",100BON,"100BON Carvi & Jardin De Figuier Refillable Eau de Parfum 50ml Spray",6.84,
B502212,"Cèdre & Iris Soyeux",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Cèdre & Iris Soyeux Refillable Eau de Parfum 50ml Spray",9.34,
N247295,"Davana & Vanille Bourbon",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Davana & Vanille Bourbon Eau de Parfum 10ml Spray",2.57,
V013425,"Davana & Vanille Bourbon",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Davana & Vanille Bourbon Refillable Eau de Parfum 50ml Spray",9.34,
H251074,"Eau de Thé & Gingembre",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Eau de Thé & Gingembre Refillable Eau de Parfum 50ml Spray",7.92,
P403221,"Eau de Thé & Gingembre",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Eau de Thé et Gingembre Eau de Parfum 10ml Spray",2.57,
B592212,"Eau de Thé & Gingembre",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Eau de Thé et Gingembre Eau de Parfum Concentrate 10ml Spray",6.36,
V261774,"Eau de Thé & Gingembre",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Eau de Thé et Gingembre Refillable Eau de Parfum Concentrate 15ml Spray",7.92,
P173614,"Eau de Thé & Gingembre",1,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Eau de Thé et Gingembre Refillable Eau de Parfum Concentrate 50ml Spray",12.06,
Z173814,"Gingembre & Vétiver Sensuel",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Gingembre & Vétiver Sensuel Eau de Parfum Concentrate 10ml Spray",5.54,
L124718,"Gingembre & Vétiver Sensuel",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Gingembre & Vétiver Sensuel Eau de Parfum Concentrate 15ml Spray",7.92,
J08707,"Mimosa & Héliotrope Poudré",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Mimosa & Héliotrope Poudré Eau de Parfum Concentrate 10ml Spray",6.74,
B036387,"Mimosa & Héliotrope Poudré",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Mimosa & Héliotrope Poudré Refillable Eau de Parfum Concentrate 15ml Spray",7.92,
P803225,"Myrrhe & Encens Mystérieux",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Myrrhe & Encens Mystérieux Refillable Eau de Parfum Concentrate 15ml Spray",7.92,
F070151,"Nagaranga & Santal Citronné",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Nagaranga & Santal Citronné Eau de Parfum 10ml Spray",2.57,
Z175814,"Nagaranga & Santal Citronné",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Nagaranga & Santal Citronné Refillable Eau de Parfum 50ml Spray",9.34,
J08807,"Nagaranga & Santal Citronné",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Nagaranga & Santal Citronné Refillable Eau de Parfum Concentrate 10ml Spray",5.01,
L525160,"Nagaranga & Santal Citronné",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Nagaranga & Santal Citronné Refillable Eau de Parfum Concentrate 15ml Spray",7.92,
L324805,"Néroli & Petit Grain Printanier",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Néroli & Petit Grain Printanier Eau de Parfum 10ml Spray",2.57,
T445235,"Néroli & Petit Grain Printanier",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BOn Néroli & Petit Grain Printanier Eau de Parfum Concentrate 10ml Spray",6.09,
T979258,"Néroli & Petit Grain Printanier",20,"Fragrance > Unisex","Eau de Toilette",100BON,"100BOn Néroli & Petit Grain Printanier Eau de Toilette 15ml Spray",7.92,
L402835,"Néroli & Petit Grain Printanier",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BOn Néroli & Petit Grain Printanier Refillable Eau de Parfum 50ml Spray",6.84,
Z809425,"Néroli & Petit Grain Printanier",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Néroli & Petit Grain Printanier Refillable Eau de Parfum Concetrate 15ml Spray",7.92,
H253474,"Néroli & Petit Grain Printanier",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BOn Néroli & Petit Grain Printanier Refillable Eau de Parfum Concetrate 50ml Spray",12.06,
F064851,"Oud Wood & Amyris",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Oud Wood & Amyris Eau de Parfum 10ml Spray",2.57,
R357028,"Oud Wood & Amyris",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Oud Wood & Amyris Eau de Parfum Concentrate 10ml Spray",6.09,
T504264,"Oud Wood & Amyris",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Oud Wood & Amyris Refillable Eau de Parfum 15ml Spray",7.92,
B682212,"Oud Wood & Amyris",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Oud Wood & Amyris Refillable Eau de Parfum Concentrate 50ml Spray",12.06,
L802835,"Tonka & Amande Absolue",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Tonka & Amande Absolue Eau de Parfum Concentrate 10ml Spray",6.09,
D066903,"Tonka & Amande Absolue",20,"Fragrance > Unisex","Eau de Parfum",100BON,"100BON Tonka & Amande Absolue Refillable Eau de Parfum Concentrate 15ml Spray",7.92,
N665291,"Skin Care",1,"Skincare > Other Skincare","Face Serum",111SKIN,"111SKIN Rose Gold Radiance Booster 20ml",58.25,
P887220,"Skin Care",20,"Skincare > Masks & Peels","Face Mask",111SKIN,"111SKIN Sub-Zero De-Puffing Energy Facial Mask 30ml",9.34,
Z307422,"Skin Care",20,"Skincare > Masks & Peels","Face Mask",111SKIN,"111SKIN Sub-Zero De-Puffing Energy Facial Mask 5 x 30ml",39.46,
T34279,"909 Top to Toes Man",20,"Bath & Body > Body Cleansers","Shower Gel","909 Top to Toes","909 Top to Toes Man Bath & Shower Gel 250ml",2.76,
F61251,"909 Top to Toes Woman",20,"Bath & Body > Body Cleansers","Bath & Shower Cream","909 Top to Toes","909 Top to Toes Woman Bath & Shower Gel 250ml",3.33,
Z343420,"Hair Care",20,"Haircare > Shampoos",Shampoo,abba,"Abba Pure Gentle Shampoo 250ml",2.51,
V133455,"Authentic Man",20,"Fragrance > For Him","Eau de Toilette","Abercrombie & Fitch","Abercrombie & Fitch Authentic Man Eau de Toilette 100ml Spray",16.10,
S109242,"Authentic Man",20,"Fragrance > For Him","Eau de Toilette","Abercrombie & Fitch","Abercrombie & Fitch Authentic Man Eau de Toilette 30ml Spray",7.81,
F58577,"Authentic Man",20,"Fragrance > For Him","Eau de Toilette","Abercrombie & Fitch","Abercrombie & Fitch Authentic Man Eau de Toilette 50ml Spray",10.60,
J116481,"Authentic Man",3,"Fragrance > For Him","Eau de Toilette","Abercrombie & Fitch","Abercrombie & Fitch Authentic Man Gift Set 50ml EDT + 200ml Hair & Body Wash",19.75,
Z173815,"Authentic Woman",20,"Fragrance > For Her","Eau de Parfum","Abercrombie & Fitch","Abercrombie & Fitch Authentic Woman Eau de Parfum 100ml Spray",16.10,
Q894034,"Authentic Woman",20,"Fragrance > For Her","Eau de Parfum","Abercrombie & Fitch","Abercrombie & Fitch Authentic Woman Eau de Parfum 30ml Spray",11.74,
J58707,"Authentic Woman",20,"Fragrance > For Her","Eau de Parfum","Abercrombie & Fitch","Abercrombie & Fitch Authentic Woman Eau de Parfum 50ml Spray",13.82,
N5129210,"Authentic Woman",20,"Fragrance > For Her","Eau de Parfum","Abercrombie & Fitch","Abercrombie & Fitch Authentic Woman Gift Set 50ml EDP + 200ml Body Lotion",20.84,
P167221,"Away Man",3,"Fragrance > For Him","Eau de Toilette","Abercrombie & Fitch","Abercrombie & Fitch Away Man Eau de Toilette 100ml Spray",26.14,
T024252,"Away Woman",2,"Fragrance > For Her","Eau de Parfum","Abercrombie & Fitch","Abercrombie & Fitch Away Woman Eau de Parfum 100ml Spray",27.22,
N930296,"Away Woman",1,"Fragrance > For Her","Eau de Parfum","Abercrombie & Fitch","Abercrombie & Fitch Away Woman Eau de Parfum 30ml Spray",16.39,
J040481,"Away Woman",1,"Fragrance > For Her","Eau de Parfum","Abercrombie & Fitch","Abercrombie & Fitch Away Woman Eau de Parfum 50ml Spray",20.72,
F42351,Fierce,20,"Fragrance > For Him","Eau de Cologne","Abercrombie & Fitch","Abercrombie & Fitch Fierce Eau de Cologne 100ml Spray",46.88,
J79881,Fierce,20,"Fragrance > For Him","Eau de Cologne","Abercrombie & Fitch","Abercrombie & Fitch Fierce Eau de Cologne 200ml Spray",63.98,
B36423,Fierce,20,"Fragrance > For Him","Eau de Cologne","Abercrombie & Fitch","Abercrombie & Fitch Fierce Eau de Cologne 50ml Spray",32.69,
G436841,"First Extreme Instinct",20,"Fragrance > For Him","Eau de Parfum","Abercrombie & Fitch","Abercrombie & Fitch First Extreme Instinct Eau de Parfum 100ml Spray",19.97,
V591180,"First Instinct",20,"Fragrance > For Him","Eau de Toilette","Abercrombie & Fitch","Abercrombie & Fitch First Instinct Eau de Toilette 100ml Spray",19.97,
O56334,"First Instinct for Her",20,"Fragrance > For Her","Eau de Parfum","Abercrombie & Fitch","Abercrombie & Fitch First Instinct for Her Eau de Parfum 100ml Spray",18.70,
Y700410,"First Instinct for Her",20,"Fragrance > For Her","Eau de Parfum","Abercrombie & Fitch","Abercrombie & Fitch First Instinct for Her Eau de Parfum 30ml Spray",10.60,
